[08-Jul-2018 15:00:40 Europe/Berlin] PHP Notice:  Undefined index: login in /Applications/XAMPP/xamppfiles/htdocs/projet_image/process/process_auth.php on line 6
[08-Jul-2018 15:00:43 Europe/Berlin] PHP Notice:  Undefined index: login in /Applications/XAMPP/xamppfiles/htdocs/projet_image/process/process_auth.php on line 6
[08-Jul-2018 15:01:54 Europe/Berlin] PHP Notice:  Undefined index: login in /Applications/XAMPP/xamppfiles/htdocs/projet_image/process/process_auth.php on line 6
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant WEB_TITLE already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 3
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant WEB_DIR_NAME already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 4
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant WEB_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 5
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_NAME already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 6
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant IMAGE_THUMB_NAME already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 7
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_PATH already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 8
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant IMAGE_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 9
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant THUMB_DIR_PATH already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 10
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Constant THUMB_DIR_URL already defined in /Applications/XAMPP/xamppfiles/htdocs/projet_image/config.php on line 11
[08-Jul-2018 15:01:59 Europe/Berlin] PHP Notice:  Undefined variable: insertImage in /Applications/XAMPP/xamppfiles/htdocs/projet_image/process/process_image.php on line 74
